iteration,loss,params,train_time,n_trees
29,399.59357,"{'colsample_bytree': 0.8500000000000001, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.30000000000000004, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.55}",1535.4033813481255,986
30,391.1377,"{'colsample_bytree': 0.9500000000000001, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",590.4207165784464,32
31,416.82516,"{'colsample_bytree': 0.8500000000000001, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.9}",908.2354326334644,852
32,394.32315,"{'colsample_bytree': 0.9, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.55}",426.7948034720466,65
33,391.97882,"{'colsample_bytree': 1.0, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.0, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",538.0585879468672,81
34,410.51065,"{'colsample_bytree': 0.9500000000000001, 'depth': 13, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 4.0, 'objective': 'reg:linear', 'subsample': 0.9}",570.003642162359,20
35,400.94403,"{'colsample_bytree': 0.9500000000000001, 'depth': 13, 'eval_metric': 'rmse', 'gamma': 0.5, 'min_child_weight': 2.0, 'objective': 'reg:linear', 'subsample': 0.65}",581.4267423750644,21
36,418.11957,"{'colsample_bytree': 0.9, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.75}",979.6756583218084,880
37,391.77795,"{'colsample_bytree': 0.9, 'depth': 11, 'eval_metric': 'rmse', 'gamma': 0.05, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.5}",469.713604034474,28
38,389.87555,"{'colsample_bytree': 0.8500000000000001, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.8500000000000001, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",729.3451401058628,163
39,388.98746,"{'colsample_bytree': 0.9500000000000001, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.9}",476.67926167634505,43
40,392.38538,"{'colsample_bytree': 0.7000000000000001, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.4, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1468.8748717096714,844
41,390.40735,"{'colsample_bytree': 0.7000000000000001, 'depth': 14, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 6.0, 'objective': 'reg:linear', 'subsample': 0.8}",570.361737666808,35
42,384.72488,"{'colsample_bytree': 0.75, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8}",492.12090753859593,35
43,387.13528,"{'colsample_bytree': 0.75, 'depth': 14, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8}",484.90966693265364,20
44,390.41553,"{'colsample_bytree': 0.75, 'depth': 5, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8}",1117.8031878863148,472
45,465.85306,"{'colsample_bytree': 0.75, 'depth': 1, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.75}",779.8968593886711,1513
46,393.45483,"{'colsample_bytree': 0.8, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 1.0, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.65}",583.0415099386519,23
47,385.46454,"{'colsample_bytree': 0.75, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",490.0484956676373,34
48,386.39667,"{'colsample_bytree': 0.8, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.55, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",523.495688482868,35
49,387.5543,"{'colsample_bytree': 0.75, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.8500000000000001, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",808.2905288383845,91
50,390.13004,"{'colsample_bytree': 0.8, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 6.0, 'objective': 'reg:linear', 'subsample': 0.65}",636.7002916680576,116
51,391.11078,"{'colsample_bytree': 0.7000000000000001, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 1.0}",851.6228046317992,101
52,386.66544,"{'colsample_bytree': 0.8, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.75}",657.7213107550924,58
