iteration,loss,params,train_time,n_trees
106,379.72736,"{'colsample_bytree': 0.8, 'depth': 13, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 1400.0, 'objective': 'reg:linear', 'subsample': 1.0}",3551.2999212938594,587
107,380.00888,"{'colsample_bytree': 0.8500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.5, 'min_child_weight': 550.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",1916.5510409477283,361
108,381.2579,"{'colsample_bytree': 0.8500000000000001, 'depth': 6, 'eval_metric': 'rmse', 'gamma': 0.35000000000000003, 'min_child_weight': 300.0, 'objective': 'reg:linear', 'subsample': 0.75}",1836.857812303584,605
109,382.40897,"{'colsample_bytree': 0.9, 'depth': 11, 'eval_metric': 'rmse', 'gamma': 0.4, 'min_child_weight': 1150.0, 'objective': 'reg:linear', 'subsample': 0.9}",3236.181271665031,550
110,395.498,"{'colsample_bytree': 0.7000000000000001, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.8500000000000001, 'min_child_weight': 850.0, 'objective': 'reg:linear', 'subsample': 0.65}",1078.0642612657975,837
111,380.5594,"{'colsample_bytree': 0.75, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 1.0, 'min_child_weight': 200.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",948.9834511893569,131
112,383.96365,"{'colsample_bytree': 0.8, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 400.0, 'objective': 'reg:linear', 'subsample': 0.6000000000000001}",1245.6833085946855,227
113,383.466,"{'colsample_bytree': 0.8500000000000001, 'depth': 14, 'eval_metric': 'rmse', 'gamma': 0.55, 'min_child_weight': 500.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1624.4550098655163,197
114,384.16193,"{'colsample_bytree': 0.9500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 100.0, 'objective': 'reg:linear', 'subsample': 0.8}",738.3555582425324,86
115,383.66418,"{'colsample_bytree': 0.9, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.25, 'min_child_weight': 1300.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",2106.3862491372274,433
116,379.52805,"{'colsample_bytree': 1.0, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.1, 'min_child_weight': 400.0, 'objective': 'reg:linear', 'subsample': 0.9}",1593.0618984787143,317
117,382.89392,"{'colsample_bytree': 1.0, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.05, 'min_child_weight': 350.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",1927.0933039505617,394
118,385.99503,"{'colsample_bytree': 1.0, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.2, 'min_child_weight': 150.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",1178.3052713212091,216
119,379.10437,"{'colsample_bytree': 0.9500000000000001, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.15000000000000002, 'min_child_weight': 250.0, 'objective': 'reg:linear', 'subsample': 0.9}",1868.8201337555074,400
120,381.3094,"{'colsample_bytree': 0.9500000000000001, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 250.0, 'objective': 'reg:linear', 'subsample': 0.8}",1404.1430247907992,287
121,384.036,"{'colsample_bytree': 0.9, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 300.0, 'objective': 'reg:linear', 'subsample': 1.0}",2128.553891238058,1046
122,409.9086,"{'colsample_bytree': 0.9500000000000001, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.5, 'min_child_weight': 550.0, 'objective': 'reg:linear', 'subsample': 0.75}",1537.9512814279296,1373
123,387.48926,"{'colsample_bytree': 0.8, 'depth': 5, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 200.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",998.0396914232406,398
124,380.05682,"{'colsample_bytree': 0.8500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 650.0, 'objective': 'reg:linear', 'subsample': 0.9}",1825.6445629918016,341
125,467.78418,"{'colsample_bytree': 0.75, 'depth': 1, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 250.0, 'objective': 'reg:linear', 'subsample': 0.75}",441.3436612391379,844
126,381.73605,"{'colsample_bytree': 0.9500000000000001, 'depth': 6, 'eval_metric': 'rmse', 'gamma': 0.15000000000000002, 'min_child_weight': 450.0, 'objective': 'reg:linear', 'subsample': 0.8}",2522.333337075135,759
127,381.14362,"{'colsample_bytree': 0.8500000000000001, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.35000000000000003, 'min_child_weight': 100.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",925.7924358741147,106
128,379.97913,"{'colsample_bytree': 0.9, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 0.55, 'min_child_weight': 350.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",1400.2074810579652,136
129,382.35455,"{'colsample_bytree': 0.9, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 150.0, 'objective': 'reg:linear', 'subsample': 0.8}",1194.639003209828,187
130,394.174,"{'colsample_bytree': 0.8500000000000001, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 500.0, 'objective': 'reg:linear', 'subsample': 0.75}",1531.9649244626635,1026
131,381.31992,"{'colsample_bytree': 0.8, 'depth': 13, 'eval_metric': 'rmse', 'gamma': 0.25, 'min_child_weight': 700.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",1890.8813057902735,278
